symbol,AD,ALS,AnorexiaNervosa,BipolarDisorder,BrainAneurysm,EssentialTremor,FrontotemporalDementia,IntracranialHemorrhage,LBD,MajorDepressiveDisorder,MigraineDisorder,MigraineWithAura,MS,NarcolepsyCataplexy,Narcolepsy,NeuroticDisorder,OCD,PartialEpilepsy,PD,ProgressiveSupranuclearPalsy,RestlessLeg,Schizophrenia,TouretteSyndrome,UnipolarDepression,cluster2129,cluster0565
ATP2A2,0.0,0.0,0.2077489515552466,0.1828945849069654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1621443653966802,0.0,0.0,0.0,0.0,0.7153254392544851,0.1621443653966802,0.1621443653966802,2,69
ATPAF2,0.0,0.0,0.2371972881388241,0.2371972881388241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2371972881388241,0.0,0.0,0.0,0.0,0.3836989978598975,0.2371972881388241,0.2371972881388241,2,69
ATXN7,0.0,0.0,0.1899026964134695,0.1899026964134695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1899026964134695,0.0,0.0,0.0,0.0,0.4044767767866036,0.1899026964134695,0.1899026964134695,2,69
BABAM2,0.0,0.0,0.1094636384755944,0.1593051230701718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1094636384755944,0.0,0.0,0.0,0.0,0.1684639829259904,0.1094636384755944,0.1094636384755944,2,69
BAG5,0.0,0.0,0.1775258456446764,0.2505375048914016,0.0,0.0,0.0,0.0,0.0,0.2227394552958843,0.0,0.0,0.0,0.0,0.0,0.0,0.1775258456446764,0.0,0.0,0.0,0.0,0.2473773258220673,0.1775258456446764,0.2969055621206179,2,69
BEAN1,0.0,0.0,0.1417094461892217,0.1417094461892217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1417094461892217,0.0,0.0,0.0,0.0,0.1417094461892217,0.1417094461892217,0.1417094461892217,2,69
BOLL,0.0,0.0,0.1202046557489626,0.1712878870386565,0.1295965347968903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1202046557489626,0.0,0.0,0.0,0.0,0.1547825206560872,0.1202046557489626,0.1571071554114399,2,69
BORCS7-ASMT,0.0,0.0,0.1257121832642248,0.1605766261404594,0.0,0.0,0.0,0.0,0.0,0.1198167690728205,0.0,0.0,0.0,0.0,0.0,0.0,0.1096168149897552,0.0,0.0,0.0,0.0,0.3031742734437558,0.1096168149897552,0.1421734623910893,2,69
BRINP2,0.0,0.0,0.2564116870253931,0.320167758053582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2564116870253931,0.0,0.0,0.0,0.0,0.7656504177267179,0.2564116870253931,0.4780646225776315,2,69
C2CD4A,0.0,0.0,0.1481704984110227,0.1481704984110227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1481704984110227,0.0,0.0,0.0,0.0,0.2808781231349637,0.1481704984110227,0.1481704984110227,2,69
