symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CRK	0.013294259857114738	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	0	0.9835549999999997	No data	-0.7168160033340278	-0.9048745699675023	0	No data	No data	-0.029604999999999927	-1	-1
CXCL9	0.010951349330759216	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0	No data	0.7465096895186498	-0.21342152618624072	0	-1	No data	0	1	0
P4HB	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.6948799999999998	0	-0.8569493644509273	-0.5109172787807997	0	No data	No data	0	0.5	-1
SLC6A3	0.4174981849836994	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5665811227204322	0.47462246124321905	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.67742	0	-0.8223588247551573	-0.8776254505243005	0	-1	No data	-0.16129	1	1
INS	0.01995319093617086	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0.09091000000000023	No data	0.316941029381121	-0.9659480566852074	0	No data	No data	0	1	0
SEMA7A	0.012558656930482885	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	1	0.4519500000000001	No data	-0.572723484059179	-0.011491042657841566	0	No data	No data	0	0.5	0
NOX4	0.002751316695986113	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5	1	0	1	1	0	0.2906550000000003	No data	0.27964159199833305	-0.8809536554333469	0	No data	No data	0	1	0
PDZRN4	0.006282857529639931	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.36497186913940405	No data	0	No data	No data	0	0.5	0
TAAR1	0.009871955839667481	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.75	1	0	1	1	0	0	0	0.5641800375078141	-0.2577152056687823	0	No data	No data	0	1	1
SLC67A1	0.0018101021303331432	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	0.30891852469264425	-0.30744733073070546	No data	No data	No data	No data	0.5	0
