"","Feature","Comparison","Estimate","P","FDR","Gene","Color","invert_P"
"4299","Mmp16","NeuN vs pSyn",-0.189325331233138,0.164301857308975,0.234032363359072,"Mmp16","NS or FC < 0.5",-0.784357527164573
"4300","Mmp17","NeuN vs pSyn",-0.25534602136499,0.0146218396942711,0.030615239401773,"Mmp17","NS or FC < 0.5",-1.83499798176901
"4301","Mmp24","NeuN vs pSyn",0.130626686444487,0.287202120670669,0.371173102597554,"Mmp24","NS or FC < 0.5",0.54181235763249
"4302","Mms19","NeuN vs pSyn",0.0188554762552601,0.879310056594302,0.908054218919822,"Mms19","NS or FC < 0.5",0.0558579598244604
"4303","Mmut","NeuN vs pSyn",-0.982386212523966,1.85337484774233e-09,5.98044348191141e-08,"Mmut","Enriched in NeuN FDR < 0.01",-8.73203673511054
"4304","Mn1","NeuN vs pSyn",-0.200426038115985,0.118017973031207,0.177124981119095,"Mn1","NS or FC < 0.5",-0.928051848677884
"4305","Mnat1","NeuN vs pSyn",0.384962742748638,0.00508424285819908,0.0127742308742571,"Mnat1","NS or FC < 0.5",2.2937737127489
"4306","Mnt","NeuN vs pSyn",0.0693324143545539,0.607437528272457,0.684313973558809,"Mnt","NS or FC < 0.5",0.216498380316721
"4307","Moap1","NeuN vs pSyn",-0.126972253453833,0.303058502455202,0.388663388173563,"Moap1","NS or FC < 0.5",-0.518473527137958
"4308","Mob1a","NeuN vs pSyn",0.473365112063904,0.00246493637525127,0.00703655612966675,"Mob1a","NS or FC < 0.5",2.60819428621795
"4309","Mob1b","NeuN vs pSyn",-0.0110496794697222,0.931664989948396,0.947393717972285,"Mob1b","NS or FC < 0.5",-0.0307402240966638
"4310","Mob2","NeuN vs pSyn",0.205700290532987,0.14120374016046,0.206269327784925,"Mob2","NS or FC < 0.5",0.850153799675598
"4311","Mob4","NeuN vs pSyn",-0.221315409609892,0.0863412406123636,0.13616566746949,"Mob4","NS or FC < 0.5",-1.06378171538287
"4312","Mobp","NeuN vs pSyn",-0.0895381209229737,0.554389418200866,0.635325772887472,"Mobp","NS or FC < 0.5",-0.256185067827763
"4313","Mocs2","NeuN vs pSyn",0.328041301444778,0.0163248360379478,0.0336439082123308,"Mocs2","NS or FC < 0.5",1.78715117196236
"4314","Mocs3","NeuN vs pSyn",0.413084701218787,0.00107228952422543,0.00360421720661338,"Mocs3","NS or FC < 0.5",2.96968793684767
"4315","Mog","NeuN vs pSyn",0.388666528803201,0.00558346562850542,0.0138108076772467,"Mog","NS or FC < 0.5",2.25309615300963
"4316","Mogs","NeuN vs pSyn",0.239683969218135,0.0643979929049275,0.106426900657768,"Mogs","NS or FC < 0.5",1.19112766810445
"4317","Mon1a","NeuN vs pSyn",0.201813627178654,0.17126851905623,0.242350989768682,"Mon1a","NS or FC < 0.5",0.766322457563478
"4318","Mon1b","NeuN vs pSyn",0.209717141971156,0.0791508875405574,0.126526586859331,"Mon1b","NS or FC < 0.5",1.10154421091147
"4319","Mon2","NeuN vs pSyn",0.055229016338775,0.723359538833348,0.783827468620688,"Mon2","NS or FC < 0.5",0.140645787187402
"4320","Morc2a","NeuN vs pSyn",0.146132351548676,0.258835882951013,0.341000612782502,"Morc2a","NS or FC < 0.5",0.586975516692037
"4321","Morc2b","NeuN vs pSyn",0.414050575861266,0.00384820002852217,0.0101424992000285,"Morc2b","NS or FC < 0.5",2.41474236152362
"4322","Morc3","NeuN vs pSyn",0.363163443874994,0.00763236127630551,0.0179438938671403,"Morc3","NS or FC < 0.5",2.11734108057434
"4323","Morc4","NeuN vs pSyn",0.541632467935725,0.0011252938837119,0.00374200597693671,"Morc4","Enriched in pSyn FDR < 0.01",2.9487340416356
"4324","Morf4l1","NeuN vs pSyn",-0.365449956550968,4.10941095105934e-05,0.000261023279731442,"Morf4l1","NS or FC < 0.5",-4.38622042606517
"4325","Morf4l2","NeuN vs pSyn",-0.532437941703006,9.31283048372697e-05,0.000508714772796089,"Morf4l2","Enriched in NeuN FDR < 0.01",-4.03091830219401
"4326","Morn1","NeuN vs pSyn",-0.12589342707522,0.329772093445418,0.416013804004378,"Morn1","NS or FC < 0.5",-0.481786098768683
"4327","Morn2","NeuN vs pSyn",0.147151951483754,0.297997816131467,0.383131607272904,"Morn2","NS or FC < 0.5",0.52578691862686
"4328","Morn4","NeuN vs pSyn",0.524271428292417,0.000109743287267272,0.00057882697049609,"Morn4","Enriched in pSyn FDR < 0.01",3.95962203502153
