"","Feature","Comparison","Estimate","P","FDR","Gene","Color","invert_P"
"1329","BMERB1","NeuN vs pSyn",-0.724822534101041,0.00382687130328891,0.0240430387725259,"BMERB1","Enriched in NeuN FDR < 0.05",-2.41715614274317
"1330","NREP","NeuN vs pSyn",0.316246482120452,0.161286938256331,0.280418224366828,"NREP","NS or FC < 0.5",0.792400802312784
"1331","FLYWCH2","NeuN vs pSyn",-0.105766661562686,0.570066223429857,0.68307879461134,"FLYWCH2","NS or FC < 0.5",-0.244074690293171
"1332","MON1A","NeuN vs pSyn",0.475820064485972,0.00481041160535879,0.0281256179542046,"MON1A","NS or FC < 0.5",2.31781776140412
"1333","WDR47","NeuN vs pSyn",-0.0805018667252229,0.769654626083688,0.840502722060157,"WDR47","NS or FC < 0.5",-0.113704115912035
"1334","CPSF7","NeuN vs pSyn",-0.173306861878927,0.196072768729099,0.320429770822532,"CPSF7","NS or FC < 0.5",-0.707582718478542
"1335","BBX","NeuN vs pSyn",0.246692926502394,0.1150111320365,0.221104108381008,"BBX","NS or FC < 0.5",0.939260121837302
"1336","ZNF780A","NeuN vs pSyn",0.20038922547908,0.165178471605974,0.284880696667934,"ZNF780A","NS or FC < 0.5",0.782046556725039
"1337","NFYC","NeuN vs pSyn",0.310267581151272,0.054823218501871,0.133920619805337,"NFYC","NS or FC < 0.5",1.26103547196011
"1338","ITPK1","NeuN vs pSyn",-0.209457989045134,0.429543773641882,0.555564811593056,"ITPK1","NS or FC < 0.5",-0.366992571803805
"1339","EFTUD2","NeuN vs pSyn",-0.104031387512306,0.559750228158239,0.674356715063749,"EFTUD2","NS or FC < 0.5",-0.252005720727326
"1340","TGFBRAP1","NeuN vs pSyn",0.539169751501617,0.000183257872645347,0.00313360032330543,"TGFBRAP1","Enriched in pSyn FDR < 0.01",3.7369373592626
"1341","TNRC6C","NeuN vs pSyn",-0.207180961884164,0.0823568796922655,0.174815281893676,"TNRC6C","NS or FC < 0.5",-1.0843001161349
"1342","FBRSL1","NeuN vs pSyn",0.660757167519854,0.00181997075782456,0.01530163097561,"FBRSL1","Enriched in pSyn FDR < 0.05",2.73993558993661
"1343","SPHKAP","NeuN vs pSyn",0.540070783396006,0.021189984788549,0.0721802214520041,"SPHKAP","Enriched in pSyn P < 0.05",1.6738693550519
