genes,Asthma,cardiovascular,coronaryheart,DiabetesMellitus,LymphoidLeukemia,ReumatoidArthritis
BMP7,0.0,1.0,0.0,0.0,0.0,0.0
BMP8A,0.0,1.0,0.0,1.0,0.0,0.0
BMP8B,0.0,1.0,0.0,1.0,0.0,0.0
BMPR1A,0.0,1.0,0.0,0.0,0.0,0.0
BMPR1B,0.0,1.0,1.0,1.0,0.0,0.0
BMPR2,0.0,1.0,0.0,1.0,0.0,0.0
BNC2,0.0,1.0,1.0,0.0,0.0,0.0
BNIP3L,0.0,1.0,0.0,0.0,0.0,0.0
BOC,0.0,1.0,0.0,0.0,0.0,0.0
BOD1L2,0.0,0.0,0.0,1.0,0.0,0.0
BOLL,1.0,0.0,0.0,0.0,0.0,0.0
BORCS7,0.0,1.0,1.0,0.0,0.0,0.0
BORCS7-ASMT,0.0,1.0,1.0,0.0,0.0,0.0
BPNT2,1.0,0.0,0.0,0.0,0.0,0.0
BPTF,0.0,0.0,0.0,1.0,0.0,0.0
BRAF,0.0,1.0,0.0,1.0,0.0,0.0
BRAP,0.0,1.0,0.0,0.0,0.0,0.0
BRCA2,1.0,1.0,0.0,0.0,0.0,0.0
BRD10,1.0,0.0,0.0,0.0,0.0,0.0
BRD3,0.0,0.0,0.0,1.0,0.0,0.0
BRD3OS,0.0,0.0,0.0,1.0,0.0,0.0
BRF1,0.0,1.0,0.0,0.0,0.0,0.0
BROX,0.0,1.0,1.0,0.0,0.0,0.0
BRWD1,0.0,1.0,0.0,0.0,0.0,0.0
BSCL2,0.0,0.0,0.0,1.0,0.0,0.0
BSND,0.0,1.0,1.0,0.0,0.0,0.0
BSX,0.0,1.0,1.0,1.0,0.0,0.0
BTBD16,0.0,0.0,0.0,0.0,1.0,0.0
BTC,0.0,1.0,0.0,0.0,0.0,0.0
BTD,0.0,1.0,1.0,0.0,0.0,0.0
BTN3A1,0.0,0.0,0.0,1.0,0.0,0.0
BTN3A2,0.0,0.0,0.0,0.0,0.0,1.0
BTN3A3,0.0,0.0,0.0,1.0,0.0,0.0
BTNL2,1.0,1.0,0.0,1.0,0.0,1.0
BTRC,0.0,0.0,0.0,1.0,0.0,0.0
BUD13,0.0,1.0,1.0,0.0,0.0,0.0
C10orf67,0.0,0.0,0.0,1.0,0.0,0.0
C11orf21,0.0,0.0,0.0,0.0,1.0,0.0
C11orf58,0.0,1.0,1.0,0.0,0.0,0.0
C12orf42,0.0,0.0,0.0,1.0,0.0,0.0
C12orf43,0.0,1.0,1.0,1.0,0.0,0.0
C12orf50,0.0,0.0,0.0,1.0,0.0,0.0
C14orf132,0.0,1.0,0.0,0.0,0.0,0.0
C16orf95,0.0,1.0,0.0,0.0,0.0,0.0
C17orf67,0.0,0.0,0.0,0.0,0.0,1.0
C1GALT1,0.0,1.0,0.0,1.0,0.0,0.0
C1QTNF6,0.0,0.0,0.0,1.0,0.0,0.0
C1R,0.0,1.0,0.0,0.0,0.0,0.0
C1S,0.0,1.0,1.0,0.0,0.0,0.0
C1orf105,0.0,0.0,0.0,1.0,0.0,0.0
C1orf141,0.0,0.0,0.0,1.0,0.0,1.0
C1orf146,0.0,0.0,0.0,1.0,0.0,0.0
C1orf167,0.0,1.0,1.0,0.0,0.0,0.0
C1orf174,1.0,1.0,0.0,0.0,0.0,0.0
C1orf185,0.0,1.0,0.0,0.0,0.0,0.0
C1orf198,0.0,1.0,0.0,0.0,0.0,0.0
C1orf21,0.0,1.0,0.0,0.0,0.0,0.0
C2,0.0,1.0,1.0,0.0,0.0,0.0
C20orf203,0.0,1.0,0.0,0.0,0.0,0.0
C21orf140,0.0,1.0,1.0,0.0,0.0,0.0
C22orf31,0.0,1.0,0.0,1.0,1.0,0.0
C2CD4A,0.0,0.0,0.0,1.0,0.0,0.0
C2CD4B,0.0,0.0,0.0,1.0,0.0,0.0
C2orf69,0.0,1.0,0.0,0.0,0.0,0.0
C3orf38,0.0,0.0,0.0,1.0,0.0,0.0
C3orf70,0.0,0.0,0.0,1.0,0.0,0.0
C4BPA,0.0,1.0,0.0,0.0,0.0,0.0
C4orf33,0.0,0.0,0.0,1.0,0.0,0.0
C4orf46,0.0,1.0,0.0,0.0,0.0,0.0
C6orf15,0.0,1.0,0.0,1.0,0.0,0.0
C7orf33,0.0,0.0,0.0,0.0,0.0,1.0
C7orf50,0.0,1.0,0.0,0.0,0.0,0.0
C8orf34,0.0,1.0,1.0,0.0,0.0,0.0
C8orf58,0.0,1.0,0.0,1.0,0.0,0.0
CABCOCO1,0.0,1.0,0.0,1.0,0.0,0.0
CABLES1,1.0,0.0,0.0,0.0,0.0,0.0
